taxa1	taxa2	rhoCut
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Nitrospirota;4-29-1	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Archaea;Archaea;Thermoplasmatota;Thermoplasmata	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Acidobacteriota;FFCH5909	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Armatimonadota;Chthonomonadetes	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Firmicutes;Negativicutes	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	Bacteria;Bacteria;Bacteroidota;Kryptonia	-1
