taxa1	taxa2
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Nitrospirota;Nitrospiria
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Planctomycetota;Pla3 lineage
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Bacteroidota;Ignavibacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Planctomycetota;BD7-11
Bacteria;Bacteria;Acidobacteriota;Subgroup 20	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Nitrospirota;4-29-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Archaea;Archaea;Thermoplasmatota;Thermoplasmata
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Acidobacteriota;FFCH5909
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Armatimonadota;Chthonomonadetes
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;TK10
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Firmicutes;Negativicutes
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
