ID	drug_name	GDSC	drug_id	protein	x_id	target	beta	fdr	nc_fdr	nc_beta	ppi	r2	tissue	p_corr_protein	p_pval_protein	corr_diff	counts	skew	cancer_gene
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	SSRG_HUMAN	SSR3	"BIRC2;BIRC3;XIAP"	-0,230615913	0,08603517	0,001821759	-0,27881062	-	0,430331456	Ovary	-0,586282771	0,000662465	0,532935164	30	-2,190857375	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SRP14_HUMAN	SRP14	BCL2	-0,035027427	0,948946543	0,000322233	-0,432493373	3	0,750148631	Stomach	-0,610273045	0,00072421	0,411697289	27	-1,562840054	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SRP14_HUMAN	SRP14	BCL2	-0,035027427	0,948946543	0,000322233	-0,432493373	3	0,750148631	Lung	-0,430018504	1,53E-09	0,409560773	181	-1,562840054	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	SND1_HUMAN	SND1	BRAF	-0,071036338	0,888893612	1,47E-09	-0,627599296	1	0,495096161	Skin	-0,564070422	6,67E-05	0,225136025	44	-1,809260826	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SPF30_HUMAN	SMNDC1	BCL2	-0,178411423	0,568690893	0,00059445	-0,418843847	3	0,750148631	Breast	-0,430088045	0,002280615	0,428375285	48	-1,562840054	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SMRC1_HUMAN	SMARCC1	BCL2	-0,155179648	0,490533647	3,46E-05	-0,341564473	2	0,750148631	Breast	-0,282965869	0,051319084	0,278786828	48	-1,562840054	FALSE
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	SLIRP_HUMAN	SLIRP	"EGFR;ERBB2"	-0,20935505	0,681701696	1,29E-11	-0,602559513	-	0,564903962	Esophagus	-0,363852096	0,031661261	0,335882594	35	-1,532922624	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	SLIRP_HUMAN	SLIRP	"EGFR;ERBB2"	-0,187226503	0,723818463	6,21E-09	-0,586961864	-	0,643925693	Esophagus	-0,464271341	0,006493723	0,439744788	33	-1,662421068	FALSE
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	ADT2_HUMAN	SLC25A5	"BIRC2;BIRC3;XIAP"	-0,207779984	0,198433467	0,000838601	-0,291513154	-	0,430331456	Ovary	-0,417097712	0,011380495	0,273216107	36	-2,190857375	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	SGTA_HUMAN	SGTA	"EGFR;ERBB2"	-0,018461603	0,960256799	7,98E-08	0,309253976	-	0,643925693	Kidney	-0,406204834	0,025922992	0,287843392	30	-1,662421068	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SAE1_HUMAN	SAE1	BCL2	-0,188611763	0,340839186	3,32E-05	-0,34212121	3	0,750148631	Head and Neck	-0,358559393	0,03441904	0,352615937	35	-1,562840054	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RS5_HUMAN	RPS5	BRAF	-0,107099676	0,804778996	0,000565391	-0,487573072	2	0,495096161	Kidney	-0,477647409	0,008782737	0,446634811	29	-1,809260826	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RS21_HUMAN	RPS21	BRAF	-0,061396773	0,810434922	0,000582846	-0,283325386	2	0,495096161	Ovary	-0,449341875	0,006770904	0,199736325	35	-1,809260826	FALSE
1371	PLX-4720	GDSC1	"1371;PLX-4720;GDSC1"	RS14_HUMAN	RPS14	BRAF	-0,128846981	0,445762667	0,000145698	-0,327076452	2	0,499462315	Skin	-0,308918	0,023034468	0,249444904	54	-1,228927954	FALSE
1061	SB590885	GDSC1	"1061;SB590885;GDSC1"	RLA2_HUMAN	RPLP2	BRAF	-0,121585011	0,638624925	0,000235836	-0,325080056	2	0,47199512	Skin	-0,333778745	0,02185696	0,295687368	47	-1,615041564	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RL32_HUMAN	RPL32	BRAF	-0,045850311	0,927759711	1,55E-05	-0,52578024	2	0,495096161	Kidney	-0,509410891	0,004765006	0,400369106	29	-1,809260826	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RL32_HUMAN	RPL32	BRAF	-0,045850311	0,927759711	1,55E-05	-0,52578024	2	0,495096161	Haematopoietic and Lymphoid	-0,245491246	0,003019537	0,204297305	144	-1,809260826	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RL29_HUMAN	RPL29	BRAF	-0,050612912	0,925250119	8,52E-05	-0,504493568	2	0,495096161	Ovary	-0,468084364	0,003482466	0,159452945	37	-1,809260826	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RL24_HUMAN	RPL24	BRAF	-0,086137128	0,815165738	0,000138958	-0,456782671	2	0,495096161	Ovary	-0,414161293	0,010822922	0,222224954	37	-1,809260826	FALSE
1371	PLX-4720	GDSC1	"1371;PLX-4720;GDSC1"	RL23_HUMAN	RPL23	BRAF	-0,169491677	0,385460667	1,52E-06	-0,489756115	2	0,499462315	Skin	-0,32989549	0,014845376	0,283958387	54	-1,228927954	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	RL12_HUMAN	RPL12	BRAF	-0,003639582	0,994787615	0,000204942	-0,655382512	2	0,495096161	Skin	-0,461233733	0,001626433	0,44332826	44	-1,809260826	FALSE
